Date,AAPL,MSFT,JNJ,PFE,XOM,CVX,JPM,GS,WMT,PG,TM,F,AMZN,TGT,BA
2012-07-18,18.30586814880371,24.43292236328125,49.99597930908203,14.314722061157227,52.96657943725586,66.11924743652344,25.230010986328125,77.80704498291016,18.81865882873535,46.174407958984375,67.79700469970703,5.378313064575195,10.873499870300293,43.970237731933594,61.17390441894531
2012-07-19,18.549230575561523,24.609445571899414,50.11130142211914,14.393342018127441,52.96657943725586,66.70764923095703,24.86916160583496,76.58964538574219,18.477670669555664,46.245635986328125,68.03633880615234,5.361112117767334,11.308500289916992,43.869964599609375,61.97697067260742
2012-07-20,18.24668312072754,24.168134689331055,49.46266174316406,14.332865715026855,52.80682373046875,66.92213439941406,24.465023040771484,75.91246795654297,18.663660049438477,46.11031723022461,66.60027313232422,5.280837535858154,11.41450023651123,43.95590591430664,61.17390441894531
2012-07-23,18.23248863220215,23.494125366210938,49.08788299560547,14.27238655090332,52.352195739746094,66.16211700439453,24.85472869873047,75.10626983642578,18.560335159301758,45.86809539794922,65.80244445800781,5.257903575897217,11.30049991607666,43.289798736572266,60.362571716308594
2012-07-24,18.14461898803711,23.38980484008789,48.54014587402344,14.139341354370117,51.965126037597656,65.15087890625,25.06401824951172,76.16240692138672,18.635242462158203,45.60454177856445,64.6943588256836,5.194831848144531,11.152000427246094,43.36858367919922,59.63399124145508
2012-07-25,17.361068725585938,23.133045196533203,48.66987228393555,14.109100341796875,52.370628356933594,65.00376892089844,25.381559371948242,77.3636474609375,18.619741439819336,45.60454177856445,64.27771759033203,5.143226623535156,10.852499961853027,43.23250198364258,61.28977966308594
2012-07-26,17.358346939086914,23.397830963134766,49.54194641113281,14.205865859985352,53.15704345703125,66.35826110839844,25.84344482421875,79.05667877197266,19.030479431152344,45.989200592041016,65.69606018066406,5.137492656707764,11.000499725341797,43.733856201171875,62.01836395263672
2012-07-27,17.668746948242188,23.879270553588867,50.104103088378906,14.41148567199707,53.72842025756836,66.96505737304688,26.62285804748535,81.94288635253906,19.25005340576172,46.36674499511719,67.45127868652344,5.160429000854492,11.866000175476074,44.06334686279297,62.515106201171875
2012-07-30,17.966781616210938,23.782978057861328,50.053646087646484,14.338912963867188,53.796016693115234,67.30827331542969,26.081588745117188,81.33018493652344,19.36887550354004,46.37385559082031,66.90166473388672,5.217766761779785,11.804499626159668,44.435794830322266,61.97697067260742
2012-07-31,18.441736221313477,23.64657211303711,49.88788604736328,14.538484573364258,53.35978317260742,67.16117858886719,25.980567932128906,81.3463134765625,19.2268009185791,45.97494888305664,67.8235855102539,5.298040390014648,11.664999961853027,43.440208435058594,61.19046401977539
2012-08-01,18.32247543334961,23.598438262939453,50.003196716308594,14.611729621887207,53.396663665771484,67.72505950927734,25.980567932128906,80.6932601928711,19.017562866210938,45.59740447998047,68.0008773803711,5.211563587188721,11.604499816894531,43.4187126159668,60.24665832519531
2012-08-02,18.35205841064453,23.421899795532227,49.33293151855469,14.599515914916992,52.76382064819336,66.95891571044922,25.381559371948242,78.85514068603516,19.128643035888672,45.2412223815918,68.28455352783203,5.1423845291137695,11.540499687194824,44.38566207885742,59.60088348388672
2012-08-03,18.590896606445312,23.871234893798828,49.81582260131836,14.819243431091309,53.78986358642578,68.10504150390625,26.045507431030273,81.41077423095703,19.25779914855957,46.65879440307617,71.85702514648438,5.240389347076416,11.748499870300293,44.66498947143555,60.27974319458008
2012-08-06,18.79773712158203,24.031723022460938,49.614009857177734,14.80703353881836,53.72842025756836,68.22146606445312,26.197057723999023,82.2492446899414,19.188051223754883,46.879634857177734,71.58219146728516,5.274979591369629,11.69950008392334,44.68647384643555,60.34600067138672
