Year,Consumer Price Index,GDP Growth in %,Billions of US $,GDP (percent),Inflation Rate,INR-USD Exchange Rate,Real Interest Rate,Unemployment Rate (percent),NIFTY
2010,1.2454143865540686,0.7065983602670762,-0.0673031019498422,0.6363465524225038,2.1205512825727952,-2.10819213340405,-0.8298565072200849,-0.3018478043433283,-0.1922698158627688
2011,1.2182493076527214,-0.1824349045546367,1.2838322690750328,1.8793038370608521,0.7685771381975964,-1.2610797485119598,-1.1000568464214102,-0.4476318832212206,-1.1472815536619445
2012,0.7129788400876649,-0.12371503898914572,1.3936536169662173,1.9863527898048245,1.0479391425200228,-1.079762715812559,-0.6311614775115434,-0.47192922970086876,-0.7909553691856497
2013,-0.16716971631598235,0.13011833235715423,-0.6493864995879657,-0.23788656165327243,1.0548369697872433,-0.35294216604825496,-0.066125018081899,-0.4597805564610447,-0.9810454240298757
2014,0.6369166191638926,0.4097259502424696,-0.48268797978619543,-0.23193939761194077,-0.035019738433580506,-0.18765707334614642,1.081899880689342,-0.43548320998139545,-0.6459566464609305
2015,0.4956582088768879,0.5697239921975621,-0.8632809705495839,-0.6422937164638357,-0.4799295971692965,0.13060526060071928,1.4314028766251587,-0.43548320998139545,-0.8696689615219257
2016,0.4467610668544627,0.6407238297953924,-1.0986556500519022,-0.9574934106544215,-0.455787201734025,0.2846989526634234,0.8942411388956568,-0.4597805564610447,-0.34492621549288943
2017,0.21314138830287752,0.24185996330534248,0.20921676574311254,-0.13083760890929977,-1.7146406780017485,-0.13978818434320336,0.5269689683918766,-0.5326725958999904,0.5744747081778631
2018,0.15881123050018325,0.1486141913406257,0.7510625896359813,0.2259922335706089,-1.107631878486353,0.4892574835742434,0.5407888136366633,-0.5691186156194638,0.0016752426172057674
2019,-0.4388205053294536,-0.556441752561279,-0.11419651496122948,-0.47577312330654475,0.3960944657676947,0.632873149213901,1.1629338039018837,-0.6420106550584104,0.002460198108647935
2020,-2.2534477759394425,-3.205435017414417,-2.0065726335820524,-1.7782020483582113,-0.5971926607120434,0.8214312870515973,0.0709950287547917,2.6745771394136373,0.32385586321576976
2021,-1.7101461979124997,0.8574957648229684,0.19015686239009708,-0.4400901390585539,-0.7041089833539597,0.9556034585158533,-1.5751207639715106,0.22054514496911948,1.8762797820961539
2022,-0.5583468524953812,0.363166329190887,1.45416124665833,0.16652059315729076,-0.2936882609543456,1.8149524298464355,-1.5069098976889248,1.8606160323454062,2.1933581920003444
