Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.47543427,6.918180041,6.26423402,4.566640859,4.791125219,6.528137588,5.032925105,4.056926124,6.988250527,6.890905449,6.311952519,4.173555703,10.71689941,10.91745007,15.88595,6.573783712,7.424575511,6.604510399,5.646370927,5.813105793,4.976001825,5.982548471,8.846045757,11.666132,4.801975289,8.200874732,10.70970795,3.213869339,0.157925041,7.982850792,9.789286526,2.437681772,-0.371564187,7.738755179,11.98840988,2.598475865,
Africa Eastern and Southern,AFE,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.04689711,-3.58511111,12.55796015,17.54292893,11.36409374,-1.241506002,7.174387244,9.784495938,14.35168934,12.25254816,17.58393816,12.14117829,,,,,,
Africa Western and Central,AFW,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-84.09500018,-93.51345888,-29.52270655,4.047558877,-72.57850016,-60.78132704,-5.032933217,-33.5534011,1.128485451,36.63763102,17.80088858,2.045114379,12.83731632,-5.723724308,38.97771355,-7.353793454,-9.876356841,8.764706246,12.61080218,12.38052977,21.14418153,-4.922063195,-5.552638283,-5.844003353,0.090918787,8.028656853,-13.98937224,3.27743053,
Albania,ALB,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,3.501953158,1.000309155,1.000584368,0.996284185,1.437570041,-25.46909106,-63.78712048,-42.57351396,-8.963182188,8.801745016,-10.28697484,19.29949431,,19.11028929,15.57541161,15.26170739,11.24647779,8.623874259,8.346054481,9.455505482,10.20876158,9.304741438,8.550524874,10.00074741,7.971036596,9.888462236,9.736112073,9.510397491,6.324557533,7.272492422,7.413723259,4.701068533,4.394812962,4.956504018,5.386769753,2.481512515,-3.057676036,
Andorra,AND,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Real interest rate (%),FR.INR.RINR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.56602872,-7.773405236,-6.748195554,-5.485839182,-11.60069877,-1.314708785,-7.006039843,0.455892832,4.564409099,12.10396965,-7.635174216,-11.88381637,-10.07372869,
